code_dec,code_hex,rom_offset,attribute_hex,pin_bank,proportional_start_col,proportional_end_col,proportional_width_units,stored_inverted_columns_hex,active_columns_hex
112,70,0x1CE3,0A,bottom8,0,10,11,80 FF BB FF BB FF BB C7 FF FF FF,7F 00 44 00 44 00 44 38 00 00 00
113,71,0x1CEF,0A,bottom8,0,10,11,C7 BB FF BB FF BB FF 80 FF FF FF,38 44 00 44 00 44 00 7F 00 00 00
114,72,0x1CFB,8A,top8,0,10,11,C1 FF EF DF FF DF FF DF FF FF FF,3E 00 10 20 00 20 00 20 00 00 00
115,73,0x1D07,8B,top8,0,11,12,EF D5 FF D5 FF D5 FF D5 FB FF FF,10 2A 00 2A 00 2A 00 2A 04 00 00
116,74,0x1D13,8A,top8,0,10,11,DF FF 03 FD DF FD DF FD FF FF FF,20 00 FC 02 20 02 20 02 00 00 00
117,75,0x1D1F,8B,top8,0,11,12,C3 FD FF FD FF FD FF C3 FD FF FF,3C 02 00 02 00 02 00 3C 02 00 00
118,76,0x1D2B,8B,top8,0,11,12,DF EF F7 FB FD FB F7 EF DF FF FF,20 10 08 04 02 04 08 10 20 00 00
119,77,0x1D37,8B,top8,0,11,12,C3 FD FB F7 EF F7 FB FD C3 FF FF,3C 02 04 08 10 08 04 02 3C 00 00
120,78,0x1D43,89,top8,0,9,10,DD EB FF F7 FF EB DD FF FF FF FF,22 14 00 08 00 14 22 00 00 00 00
121,79,0x1D4F,0B,bottom8,0,11,12,BF DF EE F5 FB F7 EF DF BF FF FF,40 20 11 0A 04 08 10 20 40 00 00
122,7A,0x1D5B,89,top8,0,9,10,DD FB DD F7 DD EF DD FF FF FF FF,22 04 22 08 22 10 22 00 00 00 00
123,7B,0x1D67,AA,top8,2,10,9,FF FF EF FF 93 7D FF 7D FF FF FF,00 00 10 00 6C 82 00 82 00 00 00
124,7C,0x1D73,C8,top8,4,8,5,FF FF FF FF 11 FF FF FF FF FF FF,00 00 00 00 EE 00 00 00 00 00 00
125,7D,0x1D7F,99,top8,1,9,9,FF 7D FF 7D 93 FF EF FF FF FF FF,00 82 00 82 6C 00 10 00 00 00 00
126,7E,0x1D8B,8B,top8,0,11,12,BF 7F FF 7F BF DF FF DF BF FF FF,40 80 00 80 40 20 00 20 40 00 00
127,7F,0x1D97,8B,top8,0,11,12,83 7D FB 75 EF 5D BF 7D 83 FF FF,7C 82 04 8A 10 A2 40 82 7C 00 00
128,80,0x1DA3,8A,top8,0,10,11,FB F5 DF 75 9F F5 DB E5 FF FF FF,04 0A 20 8A 60 0A 24 1A 00 00 00
129,81,0x1DAF,8A,top8,0,10,11,F3 ED D7 7D 97 FD D7 EF FF FF FF,0C 12 28 82 68 02 28 10 00 00 00
130,82,0x1DBB,8A,top8,0,10,11,F3 CD FF 7D BF FD F3 CD FF FF FF,0C 32 00 82 40 02 0C 32 00 00 00
131,83,0x1DC7,8A,top8,0,10,11,F3 ED FF 5F BD FF DB E7 FF FF FF,0C 12 00 A0 42 00 24 18 00 00 00
132,84,0x1DD3,98,top8,1,8,8,FF FD FF E9 77 AD FF FF FF FF FF,00 02 00 16 88 52 00 00 00 00 00
133,85,0x1DDF,A9,top8,2,9,8,FF FF BF 5F FF 5F BF FF FF FF FF,00 00 40 A0 00 A0 40 00 00 00 00
134,86,0x1DEB,8B,top8,0,11,12,ED FF E1 9F ED 7F ED 7F BF FF FF,12 00 1E 60 12 80 12 80 40 00 00
135,87,0x1DF7,9A,top8,1,10,10,FF FE FD FB F7 EF FF 7F FF FF FF,00 01 02 04 08 10 00 80 00 00 00
136,88,0x1E03,8A,top8,0,10,11,F9 FE F7 FE EF DE 7F FD FF FF FF,06 01 08 01 10 21 80 02 00 00 00
137,89,0x1E0F,8B,top8,0,11,12,F9 A7 7F F7 7B BF F9 A7 7F FF FF,06 58 80 08 84 40 06 58 80 00 00
138,8A,0x1E1B,8B,top8,0,11,12,ED B3 7F EF 7F AF FD B3 7F FF FF,12 4C 80 10 80 50 02 4C 80 00 00
139,8B,0x1E27,8B,top8,0,11,12,FD E7 DB 7F BB FD B7 CF 7F FF FF,02 18 24 80 44 02 48 30 80 00 00
140,8C,0x1E33,8B,top8,0,11,12,F9 C7 3F DF 77 D9 27 FD F7 FF FF,06 38 C0 20 88 26 D8 02 08 00 00
141,8D,0x1E3F,8B,top8,0,11,12,FD FB F7 EB BF 5B FF 41 BF FF FF,02 04 08 14 40 A4 00 BE 40 00 00
142,8E,0x1E4B,8A,top8,0,10,11,FB F5 DF F5 DF 75 DB E5 FF FF FF,04 0A 20 0A 20 8A 24 1A 00 00 00
143,8F,0x1E57,0A,bottom8,0,10,11,E7 DE FB BE F9 BF FB BF FF FF FF,18 21 04 41 06 40 04 40 00 00 00
144,90,0x1E63,8B,top8,0,11,12,FD EF 95 FF 55 FF 53 EF 7F FF FF,02 10 6A 00 AA 00 AC 10 80 00 00
